,r1,r2,a,jx,jy
193.7x3.0,9.685,9.385,17.97,817.22,817.22
193.7x3.2,9.685,9.365,19.15,869.00,869.00
193.7x3.5,9.685,9.335,20.91,946.03,946.03
193.7x3.8,9.685,9.305,22.67,1022.3,1022.3
193.7x4.0,9.685,9.285,23.84,1072.8,1072.8
193.7x4.5,9.685,9.235,26.75,1197.5,1197.5
193.7x5.0,9.685,9.185,29.64,1320.2,1320.2
193.7x5.5,9.685,9.135,32.52,1441.0,1441.0
193.7x6.0,9.685,9.085,35.38,1559.7,1559.7
193.7x7.0,9.685,8.985,41.06,1791.4,1791.4
193.7x8.0,9.685,8.885,46.67,2015.5,2015.5
219x2.5,10.95,10.7,17.00,996.39,996.39
219x2.8,10.95,10.67,19.02,1111.4,1111.4
219x3.0,10.95,10.65,20.36,1187.5,1187.5
219x3.2,10.95,10.63,21.69,1263.2,1263.2
219x3.5,10.95,10.6,23.70,1375.9,1375.9
219x3.8,10.95,10.57,25.69,1487.7,1487.7
219x4.0,10.95,10.55,27.02,1561.7,1561.7
219x4.5,10.95,10.5,30.32,1744.8,1744.8
219x5.0,10.95,10.45,33.62,1925.3,1925.3
219x5.5,10.95,10.4,36.89,2103.3,2103.3
219x6.0,10.95,10.35,40.15,2278.7,2278.7
219x7.0,10.95,10.25,46.62,2622.0,2622.0
219x8.0,10.95,10.15,53.03,2955.4,2955.4
219x9.0,10.95,10.05,59.38,3279.1,3279.1
244.5x3.0,12.225,11.925,22.76,1659.6,1659.6
244.5x3.2,12.225,11.905,24.26,1765.9,1765.9
244.5x3.5,12.225,11.875,26.50,1924.3,1924.3
244.5x3.8,12.225,11.845,28.73,2081.5,2081.5
244.5x4.0,12.225,11.825,30.22,2185.7,2185.7
244.5x4.5,12.225,11.775,33.93,2443.8,2443.8
244.5x5.0,12.225,11.725,37.62,2698.6,2698.6
244.5x5.5,12.225,11.675,41.30,2950.2,2950.2
244.5x6.0,12.225,11.625,44.96,3198.5,3198.5
244.5x7.0,12.225,11.525,52.23,3685.8,3685.8
244.5x8.0,12.225,11.425,59.44,4160.4,4160.4
244.5x9.0,12.225,11.325,66.59,4622.8,4622.8
273x3.5,13.65,13.3,29.63,2690.8,2690.8
273x3.8,13.65,13.27,32.14,2911.8,2911.8
273x4.0,13.65,13.25,33.80,3058.2,3058.2
273x4.5,13.65,13.2,37.96,3421.6,3421.6
273x5.0,13.65,13.15,42.10,3780.8,3780.8
273x5.5,13.65,13.1,46.22,4136.0,4136.0
273x6.0,13.65,13.05,50.33,4487.1,4487.1
273x7.0,13.65,12.95,58.50,5177.3,5177.3
273x8.0,13.65,12.85,66.60,5851.7,5851.7
273x9.0,13.65,12.75,74.64,6510.6,6510.6
325x4.0,16.25,15.85,40.34,5196.4,5196.4
325x4.5,16.25,15.8,45.31,5818.9,5818.9
325x5.0,16.25,15.75,50.27,6435.6,6435.6
325x5.5,16.25,15.7,55.21,7046.3,7046.3
325x6.0,16.25,15.65,60.13,7651.3,7651.3
325x7.0,16.25,15.55,69.93,8844.0,8844.0
325x8.0,16.25,15.45,79.67,10014,10014
325x9.0,16.25,15.35,89.35,11161,11161
355.6x4.0,17.78,17.38,44.18,6828.5,6828.5
355.6x4.5,17.78,17.33,49.64,7649.6,7649.6
355.6x5.0,17.78,17.28,55.07,8463.6,8463.6
355.6x5.5,17.78,17.23,60.49,9270.6,9270.6
355.6x6.0,17.78,17.18,65.90,10071,10071
355.6x7.0,17.78,17.08,76.66,11650,11650
355.6x8.0,17.78,16.98,87.36,13201,13201
355.6x9.0,17.78,16.88,98.00,14726,14726
355.6x10.0,17.78,16.78,108.57,16223,16223
377x4.0,18.85,18.45,46.87,8152.6,8152.6
377x4.5,18.85,18.4,52.66,9135.1,9135.1
377x5.0,18.85,18.35,58.43,10110,10110
377x5.5,18.85,18.3,64.19,11076,11076
377x6.0,18.85,18.25,69.93,12035,12035
377x7.0,18.85,18.15,81.37,13929,13929
377x8.0,18.85,18.05,92.74,15792,15792
377x9.0,18.85,17.95,104.05,17624,17624
377x10.0,18.85,17.85,115.30,19426,19426
406.4x4.0,20.32,19.92,50.57,10236,10236
406.4x4.5,20.32,19.87,56.82,11473,11473
406.4x5.0,20.32,19.82,63.05,12701,12701
406.4x5.5,20.32,19.77,69.27,13919,13919
406.4x6.0,20.32,19.72,75.47,15128,15128
406.4x7.0,20.32,19.62,87.83,17519,17519
406.4x8.0,20.32,19.52,100.13,19874,19874
406.4x9.0,20.32,19.42,112.36,22193,22193
406.4x10.0,20.32,19.32,124.53,24476,24476
406.4x11.0,20.32,19.22,136.64,26724,26724
406.4x12.0,20.32,19.12,148.69,28937,28937
426x4.0,21.3,20.9,53.03,11806,11806
426x4.5,21.3,20.85,59.59,13235,13235
426x5.0,21.3,20.8,66.13,14653,14653
426x5.5,21.3,20.75,72.66,16062,16062
426x6.0,21.3,20.7,79.17,17460,17460
426x7.0,21.3,20.6,92.14,20227,20227
426x8.0,21.3,20.5,105.05,22953,22953
426x9.0,21.3,20.4,117.90,25640,25640
426x10.0,21.3,20.3,130.69,28287,28287
426x11.0,21.3,20.2,143.41,30896,30896
426x12.0,21.3,20.1,156.07,33466,33466
478x5.0,23.9,23.4,74.30,20781,20781
478x5.5,23.9,23.35,81.64,22787,22787
478x6.0,23.9,23.3,88.97,24780,24780
478x7.0,23.9,23.2,103.58,28729,28729
478x8.0,23.9,23.1,118.12,32626,32626
478x9.0,23.9,23,132.61,36474,36474
478x10.0,23.9,22.9,147.03,40271,40271
478x11.0,23.9,22.8,161.38,44019,44019
478x12.0,23.9,22.7,175.68,47718,47718
530x5.0,26.5,26,82.47,28415,28415
530x5.5,26.5,25.95,90.63,31168,31168
530x6.0,26.5,25.9,98.77,33905,33905
530x7.0,26.5,25.8,115.01,39332,39332
530x8.0,26.5,25.7,131.19,44695,44695
530x9.0,26.5,25.6,147.31,49997,49997
530x10.0,26.5,25.5,163.36,55237,55237
530x11.0,26.5,25.4,179.35,60416,60416
530x12.0,26.5,25.3,195.28,65534,65534
530x13.0,26.5,25.2,211.15,70591,70591
530x14.0,26.5,25.1,226.95,75589,75589
530x16.0,26.5,24.9,258.36,85406,85406
530x17.0,26.5,24.8,273.98,90227,90227
530x17.5,26.5,24.75,281.76,92616,92616
530x18.0,26.5,24.7,289.53,94990,94990
530x19.0,26.5,24.6,305.02,99696,99696
530x20.0,26.5,24.5,320.44,104344,104344
530x21.0,26.5,24.4,335.80,108936,108936
530x22.0,26.5,24.3,351.10,113472,113472
530x23.0,26.5,24.2,366.34,117952,117952
530x24.0,26.5,24.1,381.52,122377,122377
630x7.0,31.5,30.8,137.00,66478,66478
630x8.0,31.5,30.7,156.33,75612,75612
630x9.0,31.5,30.6,175.58,84658,84658
630x10.0,31.5,30.5,194.78,93616,93616
630x11.0,31.5,30.4,213.91,102485,102485
630x12.0,31.5,30.3,232.98,111268,111268
630x17.0,31.5,29.8,327.39,153895,153895
630x14.0,31.5,30.1,270.93,128574,128574
630x16.0,31.5,29.9,308.63,145539,145539
630x13.0,31.5,30.2,251.99,119964,119964
630x17.5,31.5,29.75,336.74,158041,158041
630x18.0,31.5,29.7,346.08,162167,162167
630x19.0,31.5,29.6,364.71,170356,170356
630x20.0,31.5,29.5,383.27,178462,178462
720x7.0,36,35.3,156.80,99648,99648
720x8.0,36,35.2,178.95,113408,113408
720x9.0,36,35.1,201.03,127052,127052
720x10.0,36,35,223.05,140579,140579
720x11.0,36,34.9,245.01,153991,153991
720x12.0,36,34.8,266.91,167288,167288
720x13.0,36,34.7,288.74,180471,180471
720x14.0,36,34.6,310.52,193541,193541
720x16.0,36,34.4,353.87,219342,219342
720x17.0,36,34.3,375.45,232075,232075
720x17.5,36,34.25,386.22,238400,238400
720x18.0,36,34.2,396.97,244697,244697
720x19.0,36,34.1,418.43,257209,257209
720x20.0,36,34,439.82,269611,269611
720x21.0,36,33.9,461.15,281905,281905
720x22.0,36,33.8,482.42,294090,294090
720x23.0,36,33.7,503.63,306167,306167
720x24.0,36,33.6,524.77,318138,318138
720x25.0,36,33.5,545.85,330001,330001
720x26.0,36,33.4,566.87,341760,341760
720x27.0,36,33.3,587.82,353413,353413
720x28.0,36,33.2,608.71,364961,364961
720x29.0,36,33.1,629.54,376406,376406
720x30.0,36,33,650.31,387747,387747
820x7.0,41,40.3,178.79,147728,147728
820x8.0,41,40.2,204.08,168213,168213
820x9.0,41,40.1,229.30,188546,188546
820x10.0,41,40,254.47,208728,208728
820x11.0,41,39.9,279.57,228759,228759
820x12.0,41,39.8,304.61,248640,248640
820x13.0,41,39.7,329.58,268372,268372
820x14.0,41,39.6,354.50,287955,287955
820x16.0,41,39.4,404.13,326678,326678
820x17.0,41,39.3,428.86,345820,345820
820x17.5,41,39.25,441.20,355336,355336
820x18.0,41,39.2,453.52,364816,364816
820x19.0,41,39.1,478.12,383668,383668
820x20.0,41,39,502.65,402375,402375
820x21.0,41,38.9,527.13,420939,420939
820x22.0,41,38.8,551.54,439361,439361
820x23.0,41,38.7,575.89,457640,457640
820x24.0,41,38.6,600.17,475779,475779
820x25.0,41,38.5,624.39,493777,493777
820x26.0,41,38.4,648.55,511635,511635
820x27.0,41,38.3,672.65,529354,529354
820x28.0,41,38.2,696.68,546935,546935
820x29.0,41,38.1,720.65,564379,564379
820x30.0,41,38,744.56,581686,581686
920x7.0,46,45.3,200.78,209216,209216
920x8.0,46,45.2,229.21,238324,238324
920x9.0,46,45.1,257.58,267239,267239
920x10.0,46,45,285.88,295962,295962
920x11.0,46,44.9,314.13,324495,324495
920x12.0,46,44.8,342.31,352837,352837
920x13.0,46,44.7,370.43,380991,380991
920x14.0,46,44.6,398.48,408956,408956
920x16.0,46,44.4,454.40,464324,464324
920x17.0,46,44.3,482.27,491729,491729
920x17.5,46,44.25,496.18,505362,505362
920x18.0,46,44.2,510.07,518949,518949
920x19.0,46,44.1,537.81,545985,545985
920x20.0,46,44,565.49,572838,572838
1020x8.0,51,50.2,254.34,325626,325626
1020x9.0,51,50.1,285.85,365250,365250
1020x10.0,51,50,317.30,404638,404638
1020x11.0,51,49.9,348.69,443790,443790
1020x12.0,51,49.8,380.01,482708,482708
1020x13.0,51,49.7,411.27,521392,521392
1020x14.0,51,49.6,442.46,559843,559843
1020x16.0,51,49.4,504.67,636050,636050
1020x17.0,51,49.3,535.67,673808,673808
1020x17.5,51,49.25,551.15,692601,692601
1020x18.0,51,49.2,566.62,711337,711337
1020x19.0,51,49.1,597.50,748639,748639
1020x20.0,51,49,628.32,785712,785712
1020x21.0,51,48.9,659.07,822560,822560
1020x22.0,51,48.8,689.77,859182,859182
1020x23.0,51,48.7,720.40,895580,895580
1020x24.0,51,48.6,750.97,931754,931754
1020x25.0,51,48.5,781.47,967706,967706
1020x26.0,51,48.4,811.91,1003435,1003435
1020x27.0,51,48.3,842.29,1038945,1038945
1020x28.0,51,48.2,872.61,1074234,1074234
1020x29.0,51,48.1,902.86,1109304,1109304
1020x30.0,51,48,933.05,1144156,1144156
1020x31.0,51,47.9,963.18,1178791,1178791
1120x8.0,56,55.2,279.48,432003,432003
1120x9.0,56,55.1,314.13,484700,484700
1120x10.0,56,55,348.72,537111,537111
1120x11.0,56,54.9,383.24,589237,589237
1120x12.0,56,54.8,417.71,641079,641079
1120x13.0,56,54.7,452.11,692637,692637
1120x14.0,56,54.6,486.44,743914,743914
1120x16.0,56,54.4,554.93,845626,845626
1120x17.0,56,54.3,589.08,896063,896063
1120x17.5,56,54.25,606.13,921177,921177
1120x18.0,56,54.2,623.17,946222,946222
1120x19.0,56,54.1,657.19,996104,996104
1120x20.0,56,54,691.15,1045711,1045711
1220x9.0,61,60.1,342.40,627710,627710
1220x10.0,61,60,380.13,695738,695738
1220x11.0,61,59.9,417.80,763427,763427
1220x12.0,61,59.8,455.41,830778,830778
1220x13.0,61,59.7,492.95,897791,897791
1220x14.0,61,59.6,530.43,964469,964469
1220x16.0,61,59.4,605.20,1096822,1096822
1220x17.0,61,59.3,642.49,1162499,1162499
1220x17.5,61,59.25,661.11,1195213,1195213
1220x18.0,61,59.2,679.71,1227844,1227844
1220x19.0,61,59.1,716.88,1292859,1292859
1220x20.0,61,59,753.98,1357545,1357545
1420x10.0,71,70,442.96,1100878,1100878
1420x11.0,71,69.9,486.92,1208404,1208404
1420x12.0,71,69.8,530.80,1315469,1315469
1420x13.0,71,69.7,574.63,1422075,1422075
1420x14.0,71,69.6,618.39,1528224,1528224
1420x16.0,71,69.4,705.73,1739152,1739152
1420x17.0,71,69.3,749.30,1843935,1843935
1420x17.5,71,69.25,771.06,1896156,1896156
1420x18.0,71,69.2,792.81,1948265,1948265
1420x19.0,71,69.1,836.26,2052144,2052144
1420x20.0,71,69,879.65,2155572,2155572
