,h,b,s,r1,r2,r3,a,j,j
L55x55x3,5.5,5.5,0.3,0.7,1,0,3.1,9.3466,9.3466
L60x60x3,6,6,0.3,0.7,1,0,3.4,12.25,12.25
L70x70x4,7,7,0.4,1,1.4,0,5.23,25.51,25.51
L80x80x4,8,8,0.4,1,1.4,0,6.03,38.65,38.65
L80x80x5,8,8,0.5,1,1.5,0,7.48,47.36,47.36
L100x100x4,10,10,0.4,1,1.4,0,7.63,77.05,77.05
L100x100x5,10,10,0.5,1,1.5,0,9.48,94.8,94.8
L100x100x6,10,10,0.6,1.4,2,0,11.2,111.1,111.1
L120x120x5,12,12,0.5,1,1.5,0,11.48,166.48,166.48
L160x160x4,16,16,0.4,1,1.4,0,12.43,325.24,325.24
