,h,b,t,r1,r2,r3,,,
L40x25x2.5,4,2.5,0.25,0.6,0.85,0,1.48,2.46,0.78
L70x50x4,7,5,0.4,1,1.4,0,4.43,22.52,9.93
L85x67x4,8.5,6.7,0.4,1,1.4,0,5.71,42.89,24.07
L90x70x4,9,7,0.4,1,1.4,0,6.03,50.97,27.7
L110x90x5,11,9,0.5,1,1.5,0,9.48,118.85,72.96
L115x65x5,11.5,6.5,0.5,1,1.5,0,8.48,119.02,29.47
L147x125x8,14.7,12.5,0.8,2,2.8,0,20.3,448.55,302.59
L152x100x5.5,15.2,10,0.55,1.2,1.75,0,13.21,324.94,117.37
L155x100x6,15.5,10,0.6,1.4,2,0,14.5,370.31,127.51
