,h,b,s,r1,r2,a,j,j
80x40x3.5,8,4,0.35,0.35,0.7,7.59,58.79,19.58
80x40x4,8,4,0.4,0.4,0.8,8.55,64.77,21.42
80x40x4.5,8,4,0.45,0.45,0.9,9.47,70.19,23.04
80x40x5,8,4,0.5,0.5,1,10.36,75.11,24.59
80x40x5.5,8,4,0.55,0.55,1.1,11.21,79.47,25.86
80x40x6,8,4,0.6,0.6,1.2,12.03,83.32,26.96
80x60x2,8,6,0.2,0.2,0.4,5.34,49.53,31.87
80x60x2.5,8,6,0.25,0.25,0.5,6.59,60.13,38.61
80x60x3,8,6,0.3,0.3,0.6,7.81,70.02,44.86
80x60x3.5,8,6,0.35,0.35,0.7,8.99,79.27,50.67
