,h,b,s,t,r1,r2,r3,a,,,
Шв. гн.80x80x4,8,8,0.4,0.4,0.6,0,1,0,9,100.66,60.69
Шв. гн.80x85x4,8,8.5,0.4,0.4,0.6,0,1,0,9.41,106.45,71.64
Шв. гн.80x100x6,8,10,0.6,0.6,0.9,0,1.5,0,15.46,170.88,158.47
Шв. гн.90x50x3.5,9,5,0.35,0.35,0.5,0,0.85,0,6.2,78.16,15.5
Шв. гн.90x54x5,9,5.4,0.5,0.5,0.7,0,1.2,0,8.99,110.99,25.94
Шв. гн.90x100x2.5,9,10,0.25,0.25,0.4,0,0.65,0,7.01,106.27,75.7
Шв. гн.100x40x2.5,10,4,0.25,0.25,0.3,0,0.55,0,4.28,63.16,6.41
Шв. гн.100x40x3,10,4,0.3,0.3,0.5,0,0.8,0,5.05,73.11,7.5
Шв. гн.100x50x3,10,5,0.3,0.3,0.4,0,0.7,0,5.68,87.88,14.05
Шв. гн.100x50x4,10,5,0.4,0.4,0.6,0,1,0,7.4,111.44,18.01
Шв. гн.100x50x5,10,5,0.5,0.5,0.7,0,1.2,0,9.09,133.39,21.72
Шв. гн.100x50x6,10,5,0.6,0.6,0.9,0,1.5,0,10.66,151.84,25.03
Шв. гн.100x60x3,10,6,0.3,0.3,0.4,0,0.7,0,6.28,101.99,23.25
Шв. гн.100x60x4,10,6,0.4,0.4,0.6,0,1,0,8.2,129.89,29.93
Шв. гн.100x80x3,10,8,0.3,0.3,0.4,0,0.7,0,7.48,130.23,51.03
Шв. гн.100x80x4,10,8,0.4,0.4,0.6,0,1,0,9.8,166.77,66.07
Шв. гн.100x80x5,10,8,0.5,0.5,0.7,0,1.2,0,12.09,201.14,80.47
Шв. гн.100x100x3,10,10,0.3,0.3,0.5,0,0.8,0,8.65,157.81,93.15
Шв. гн.100x100x6,10,10,0.6,0.6,0.9,0,1.5,0,16.66,284.56,173.39
Шв. гн.100x160x4,10,16,0.4,0.4,0.6,0,1,0,16.2,314.31,436.25
Шв. гн.104x20x2,10.4,2,0.2,0.2,0.3,0,0.5,0,2.73,35.64,0.73
Шв. гн.106x50x4,10.6,5,0.4,0.4,0.6,0,1,0,7.64,127.9,18.38
Шв. гн.108x70x6,10.8,7,0.6,0.6,0.9,0,1.5,0,13.54,245.48,66.59
Шв. гн.110x26x2.5,11,2.6,0.25,0.25,0.3,0,0.55,0,3.83,58.96,1.93
Шв. гн.110x50x4,11,5,0.4,0.4,0.6,0,1,0,7.8,139.63,18.61
Шв. гн.110x50x5,11,5,0.5,0.5,0.7,0,1.2,0,9.59,167.57,22.47
Шв. гн.110x100x4,11,10,0.4,0.4,0.6,0,1,0,11.81,252.05,125.87
Шв. гн.120x25x4,12,2.5,0.4,0.4,0.6,0,1,0,6.2,104.42,2.57
Шв. гн.120x50x3,12,5,0.3,0.3,0.5,0,0.8,0,6.25,133.77,14.85
Шв. гн.120x50x4,12,5,0.4,0.4,0.6,0,1,0,8.2,171.72,19.15
Шв. гн.120x50x6,12,5,0.6,0.6,0.9,0,1.5,0,11.86,236.44,26.75
