,r1,r2,a,jx,jy
203x8.5,10.15,9.3,51.94,2460.74,2460.74
203x9,10.15,9.25,54.85,2586.08,2586.08
203x9.5,10.15,9.2,57.75,2709.39,2709.39
203x10,10.15,9.15,60.63,2830.72,2830.72
203x11,10.15,9.05,66.35,3067.46,3067.46
203x12,10.15,8.95,72.01,3296.49,3296.49
203x13,10.15,8.85,77.60,3517.97,3517.97
203x14,10.15,8.75,83.13,3732.07,3732.07
203x15,10.15,8.65,88.59,3938.95,3938.95
203x16,10.15,8.55,94.00,4138.78,4138.78
203x17,10.15,8.45,99.34,4331.72,4331.72
203x18,10.15,8.35,104.62,4517.93,4517.93
203x19,10.15,8.25,109.83,4697.57,4697.57
203x20,10.15,8.15,114.98,4870.79,4870.79
203x22,10.15,7.95,125.10,5198.61,5198.61
203x24,10.15,7.75,134.96,5502.60,5502.60
203x25,10.15,7.65,139.80,5646.03,5646.03
203x26,10.15,7.55,144.58,5783.95,5783.95
203x28,10.15,7.35,153.94,6043.80,6043.80
203x30,10.15,7.15,163.05,6283.28,6283.28
203x32,10.15,6.95,171.91,6503.49,6503.49
203x34,10.15,6.75,180.52,6705.49,6705.49
203x35,10.15,6.65,184.73,6799.98,6799.98
203x36,10.15,6.55,188.87,6890.31,6890.31
203x38,10.15,6.35,196.98,7058.95,7058.95
203x40,10.15,6.15,204.83,7212.39,7212.39
203x42,10.15,5.95,212.43,7351.56,7351.56
203x45,10.15,5.65,223.37,7535.57,7535.57
203x48,10.15,5.35,233.73,7692.49,7692.49
203x50,10.15,5.15,240.33,7783.45,7783.45
219x6,10.95,10.35,40.15,2278.74,2278.74
219x6.5,10.95,10.3,43.39,2451.64,2451.64
219x7,10.95,10.25,46.62,2622.04,2622.04
219x7.5,10.95,10.2,49.83,2789.96,2789.96
219x8,10.95,10.15,53.03,2955.43,2955.43
219x8.5,10.95,10.1,56.21,3118.48,3118.48
219x9,10.95,10.05,59.38,3279.12,3279.12
219x9.5,10.95,10,62.53,3437.38,3437.38
219x10,10.95,9.95,65.66,3593.29,3593.29
219x11,10.95,9.85,71.88,3898.12,3898.12
219x12,10.95,9.75,78.04,4193.81,4193.81
219x13,10.95,9.65,84.13,4480.55,4480.55
219x14,10.95,9.55,90.16,4758.50,4758.50
219x15,10.95,9.45,96.13,5027.86,5027.86
219x16,10.95,9.35,102.04,5288.81,5288.81
219x17,10.95,9.25,107.88,5541.51,5541.51
219x18,10.95,9.15,113.66,5786.15,5786.15
219x19,10.95,9.05,119.38,6022.90,6022.90
219x20,10.95,8.95,125.04,6251.93,6251.93
219x22,10.95,8.75,136.16,6687.50,6687.50
219x24,10.95,8.55,147.03,7094.21,7094.21
219x25,10.95,8.45,152.37,7287.15,7287.15
219x26,10.95,8.35,157.65,7473.36,7473.36
219x28,10.95,8.15,168.01,7826.23,7826.23
219x30,10.95,7.95,178.13,8154.05,8154.05
219x32,10.95,7.75,187.99,8458.04,8458.04
219x34,10.95,7.55,197.61,8739.38,8739.38
219x35,10.95,7.45,202.32,8871.92,8871.92
219x36,10.95,7.35,206.97,8999.23,8999.23
219x38,10.95,7.15,216.08,9238.72,9238.72
219x40,10.95,6.95,224.94,9458.93,9458.93
219x42,10.95,6.75,233.55,9660.92,9660.92
219x45,10.95,6.45,245.99,9932.02,9932.02
219x48,10.95,6.15,257.86,10167.82,10167.82
219x50,10.95,5.95,265.46,10306.99,10306.99
245x6.5,12.25,11.6,48.70,3465.46,3465.46
245x7,12.25,11.55,52.34,3709.06,3709.06
245x7.5,12.25,11.5,55.96,3949.52,3949.52
245x8,12.25,11.45,59.56,4186.87,4186.87
245x8.5,12.25,11.4,63.15,4421.13,4421.13
245x9,12.25,11.35,66.73,4652.32,4652.32
245x9.5,12.25,11.3,70.29,4880.48,4880.48
245x10,12.25,11.25,73.83,5105.63,5105.63
245x11,12.25,11.15,80.86,5547.01,5547.01
245x12,12.25,11.05,87.84,5976.67,5976.67
245x13,12.25,10.95,94.75,6394.83,6394.83
245x14,12.25,10.85,101.60,6801.68,6801.68
245x15,12.25,10.75,108.38,7197.44,7197.44
245x16,12.25,10.65,115.11,7582.30,7582.30
245x17,12.25,10.55,121.77,7956.48,7956.48
245x18,12.25,10.45,128.37,8320.17,8320.17
245x19,12.25,10.35,134.90,8673.56,8673.56
245x20,12.25,10.25,141.37,9016.86,9016.86
245x22,12.25,10.05,154.13,9673.94,9673.94
245x24,12.25,9.85,166.63,10292.95,10292.95
245x25,12.25,9.75,172.79,10588.64,10588.64
245x26,12.25,9.65,178.88,10875.37,10875.37
245x28,12.25,9.45,190.88,11422.69,11422.69
245x30,12.25,9.25,202.63,11936.33,11936.33
245x32,12.25,9.05,214.13,12417.72,12417.72
245x34,12.25,8.85,225.38,12868.23,12868.23
245x35,12.25,8.75,230.91,13082.33,13082.33
245x36,12.25,8.65,236.37,13289.21,13289.21
245x38,12.25,8.45,247.12,13681.98,13681.98
245x40,12.25,8.25,257.61,14047.83,14047.83
245x42,12.25,8.05,267.85,14388.02,14388.02
245x45,12.25,7.75,282.74,14852.86,14852.86
245x48,12.25,7.45,297.07,15266.75,15266.75
245x50,12.25,7.25,306.31,15516.28,15516.28
273x6.5,13.65,13,54.42,4834.18,4834.18
273x7,13.65,12.95,58.50,5177.30,5177.30
273x7.5,13.65,12.9,62.56,5516.47,5516.47
273x8,13.65,12.85,66.60,5851.71,5851.71
273x8.5,13.65,12.8,70.63,6183.07,6183.07
273x9,13.65,12.75,74.64,6510.56,6510.56
273x9.5,13.65,12.7,78.64,6834.23,6834.23
273x10,13.65,12.65,82.62,7154.09,7154.09
273x11,13.65,12.55,90.54,7782.54,7782.54
273x12,13.65,12.45,98.39,8396.14,8396.14
273x13,13.65,12.35,106.19,8995.13,8995.13
273x14,13.65,12.25,113.91,9579.75,9579.75
273x15,13.65,12.15,121.58,10150.23,10150.23
273x16,13.65,12.05,129.18,10706.79,10706.79
273x17,13.65,11.95,136.72,11249.67,11249.67
273x18,13.65,11.85,144.20,11779.08,11779.08
273x19,13.65,11.75,151.61,12295.27,12295.27
273x20,13.65,11.65,158.96,12798.44,12798.44
273x22,13.65,11.45,173.48,13766.62,13766.62
273x24,13.65,11.25,187.74,14685.38,14685.38
273x25,13.65,11.15,194.78,15126.76,15126.76
273x26,13.65,11.05,201.75,15556.42,15556.42
273x28,13.65,10.85,215.51,16381.43,16381.43
273x30,13.65,10.65,229.02,17162.06,17162.06
273x32,13.65,10.45,242.28,17899.92,17899.92
273x34,13.65,10.25,255.29,18596.61,18596.61
273x35,13.65,10.15,261.69,18930.01,18930.01
273x36,13.65,10.05,268.04,19253.70,19253.70
273x38,13.65,9.85,280.54,19872.70,19872.70
273x40,13.65,9.65,292.80,20455.12,20455.12
273x42,13.65,9.45,304.80,21002.44,21002.44
273x45,13.65,9.15,322.33,21760.73,21760.73
273x48,13.65,8.85,339.29,22447.98,22447.98
273x50,13.65,8.65,350.29,22868.96,22868.96
299x7.5,14.95,14.2,68.68,7300.02,7300.02
299x8,14.95,14.15,73.14,7747.42,7747.42
299x8.5,14.95,14.1,77.57,8190.09,8190.09
299x9,14.95,14.05,82.00,8628.09,8628.09
299x9.5,14.95,14,86.40,9061.43,9061.43
299x10,14.95,13.95,90.79,9490.15,9490.15
299x11,14.95,13.85,99.53,10333.87,10333.87
299x12,14.95,13.75,108.20,11159.52,11159.52
299x13,14.95,13.65,116.80,11967.34,11967.34
299x14,14.95,13.55,125.35,12757.61,12757.61
299x15,14.95,13.45,133.83,13530.57,13530.57
299x16,14.95,13.35,142.25,14286.48,14286.48
299x17,14.95,13.25,150.61,15025.59,15025.59
299x18,14.95,13.15,158.90,15748.16,15748.16
299x19,14.95,13.05,167.13,16454.43,16454.43
299x20,14.95,12.95,175.30,17144.64,17144.64
299x22,14.95,12.75,191.45,18477.91,18477.91
299x24,14.95,12.55,207.35,19749.88,19749.88
299x25,14.95,12.45,215.20,20363.48,20363.48
299x26,14.95,12.35,222.99,20962.48,20962.48
299x28,14.95,12.15,238.38,22117.57,22117.57
299x30,14.95,11.95,253.53,23217.01,23217.01
299x32,14.95,11.75,268.42,24262.61,24262.61
299x34,14.95,11.55,283.06,25256.16,25256.16
299x35,14.95,11.45,290.28,25733.97,25733.97
299x36,14.95,11.35,297.45,26199.41,26199.41
299x38,14.95,11.15,311.58,27094.10,27094.10
299x40,14.95,10.95,325.47,27941.92,27941.92
299x42,14.95,10.75,339.10,28744.53,28744.53
299x45,14.95,10.45,359.08,29867.26,29867.26
299x48,14.95,10.15,378.50,30897.35,30897.35
299x50,14.95,9.95,391.13,31535.21,31535.21
299x56,14.95,9.35,427.51,33230.73,33230.73
299x60,14.95,8.95,450.50,34193.85,34193.85
299x63,14.95,8.65,467.09,34836.30,34836.30
299x65,14.95,8.45,477.84,35229.07,35229.07
299x70,14.95,7.95,503.60,36095.97,36095.97
299x75,14.95,7.45,527.79,36813.84,36813.84
325x7.5,16.25,15.5,74.81,9431.80,9431.80
325x8,16.25,15.45,79.67,10013.92,10013.92
325x8.5,16.25,15.4,84.52,10590.42,10590.42
325x9,16.25,15.35,89.35,11161.33,11161.33
325x9.5,16.25,15.3,94.16,11726.68,11726.68
325x10,16.25,15.25,98.96,12286.52,12286.52
325x11,16.25,15.15,108.51,13389.80,13389.80
325x12,16.25,15.05,118.00,14471.45,14471.45
325x13,16.25,14.95,127.42,15531.75,15531.75
325x14,16.25,14.85,136.78,16570.98,16570.98
325x15,16.25,14.75,146.08,17589.43,17589.43
325x16,16.25,14.65,155.32,18587.38,18587.38
325x17,16.25,14.55,164.49,19565.10,19565.10
325x18,16.25,14.45,173.60,20522.86,20522.86
325x19,16.25,14.35,182.65,21460.95,21460.95
325x20,16.25,14.25,191.64,22379.63,22379.63
325x22,16.25,14.05,209.42,24159.83,24159.83
325x24,16.25,13.85,226.95,25865.62,25865.62
325x25,16.25,13.75,235.62,26691.27,26691.27
325x26,16.25,13.65,244.23,27499.09,27499.09
325x28,16.25,13.45,261.25,29062.32,29062.32
325x30,16.25,13.25,278.03,30557.34,30557.34
325x32,16.25,13.05,294.56,31986.17,31986.17
325x34,16.25,12.85,310.83,33350.81,33350.81
325x35,16.25,12.75,318.87,34009.65,34009.65
325x36,16.25,12.65,326.85,34653.18,34653.18
325x38,16.25,12.45,342.62,35895.23,35895.23
325x40,16.25,12.25,358.14,37078.84,37078.84
325x42,16.25,12.05,373.41,38205.88,38205.88
325x45,16.25,11.75,395.84,39794.36,39794.36
325x48,16.25,11.45,417.71,41265.71,41265.71
325x50,16.25,11.25,431.97,42184.47,42184.47
325x56,16.25,10.65,473.25,44661.15,44661.15
325x60,16.25,10.25,499.51,46095.71,46095.71
325x63,16.25,9.95,518.55,47066.96,47066.96
325x65,16.25,9.75,530.93,47667.48,47667.48
325x70,16.25,9.25,560.77,49015.18,49015.18
325x75,16.25,8.75,589.05,50161.17,50161.17
351x8,17.55,16.75,86.21,12684.36,12684.36
351x8.5,17.55,16.7,91.46,13419.24,13419.24
351x9,17.55,16.65,96.70,14147.55,14147.55
351x9.5,17.55,16.6,101.92,14869.34,14869.34
351x10,17.55,16.55,107.13,15584.62,15584.62
351x11,17.55,16.45,117.50,16995.88,16995.88
351x12,17.55,16.35,127.80,18381.63,18381.63
351x13,17.55,16.25,138.04,19742.19,19742.19
351x14,17.55,16.15,148.22,21077.86,21077.86
351x15,17.55,16.05,158.34,22388.95,22388.95
351x16,17.55,15.95,168.39,23675.76,23675.76
351x17,17.55,15.85,178.38,24938.59,24938.59
351x18,17.55,15.75,188.31,26177.74,26177.74
351x19,17.55,15.65,198.17,27393.52,27393.52
351x20,17.55,15.55,207.97,28586.21,28586.21
351x22,17.55,15.35,227.39,30903.52,30903.52
351x24,17.55,15.15,246.55,33131.99,33131.99
351x25,17.55,15.05,256.04,34213.64,34213.64
351x26,17.55,14.95,265.46,35273.94,35273.94
351x28,17.55,14.75,284.13,37331.62,37331.62
351x30,17.55,14.55,302.54,39307.29,39307.29
351x32,17.55,14.35,320.69,41203.14,41203.14
351x34,17.55,14.15,338.60,43021.36,43021.36
351x35,17.55,14.05,347.46,43902.02,43902.02
351x36,17.55,13.95,356.26,44764.09,44764.09
351x38,17.55,13.75,373.66,46433.45,46433.45
351x40,17.55,13.55,390.81,48031.54,48031.54
351x42,17.55,13.35,407.72,49560.42,49560.42
351x45,17.55,13.05,432.60,51728.36,51728.36
351x48,17.55,12.75,456.91,53751.84,53751.84
351x50,17.55,12.55,472.81,55023.82,55023.82
351x56,17.55,11.95,518.99,58490.95,58490.95
351x60,17.55,11.55,548.52,60530.10,60530.10
351x63,17.55,11.25,570.01,61926.66,61926.66
351x65,17.55,11.05,584.02,62797.70,62797.70
351x70,17.55,10.55,617.95,64777.51,64777.51
351x75,17.55,10.05,650.31,66494.98,66494.98
377x9,18.85,17.95,104.05,17624.04,17624.04
377x9.5,18.85,17.9,109.68,18528.73,18528.73
377x10,18.85,17.85,115.30,19425.87,19425.87
377x11,18.85,17.75,126.48,21197.66,21197.66
377x12,18.85,17.65,137.60,22939.76,22939.76
377x13,18.85,17.55,148.66,24652.50,24652.50
377x14,18.85,17.45,159.66,26336.21,26336.21
377x15,18.85,17.35,170.59,27991.22,27991.22
377x16,18.85,17.25,181.46,29617.87,29617.87
377x17,18.85,17.15,192.27,31216.46,31216.46
377x18,18.85,17.05,203.01,32787.34,32787.34
377x19,18.85,16.95,213.69,34330.82,34330.82
377x20,18.85,16.85,224.31,35847.22,35847.22
377x22,18.85,16.65,245.36,38800.06,38800.06
377x24,18.85,16.45,266.16,41648.38,41648.38
377x25,18.85,16.35,276.46,43034.13,43034.13
377x26,18.85,16.25,286.70,44394.69,44394.69
377x28,18.85,16.05,307.00,47041.45,47041.45
377x30,18.85,15.85,327.04,49591.09,49591.09
377x32,18.85,15.65,346.83,52046.02,52046.02
377x34,18.85,15.45,366.37,54408.61,54408.61
377x35,18.85,15.35,376.05,55556.02,55556.02
377x36,18.85,15.25,385.66,56681.21,56681.21
377x38,18.85,15.05,404.70,58866.14,58866.14
377x40,18.85,14.85,423.49,60965.67,60965.67
377x42,18.85,14.65,442.02,62982.07,62982.07
377x45,18.85,14.35,469.35,65855.64,65855.64
377x48,18.85,14.05,496.12,68554.52,68554.52
377x50,18.85,13.85,513.65,70260.31,70260.31
377x56,18.85,13.25,564.73,74952.03,74952.03
377x60,18.85,12.85,597.53,77745.50,77745.50
377x63,18.85,12.55,621.47,79676.32,79676.32
377x65,18.85,12.35,637.11,80888.92,80888.92
377x70,18.85,11.85,675.13,83672.86,83672.86
377x75,18.85,11.35,711.57,86125.85,86125.85
402x9,20.1,19.2,111.12,21463.86,21463.86
402x9.5,20.1,19.15,117.14,22571.31,22571.31
402x10,20.1,19.1,123.15,23670.13,23670.13
402x11,20.1,19,135.12,25842.02,25842.02
402x12,20.1,18.9,147.03,27979.88,27979.88
402x13,20.1,18.8,158.87,30084.08,30084.08
402x14,20.1,18.7,170.65,32154.97,32154.97
402x15,20.1,18.6,182.37,34192.90,34192.90
402x16,20.1,18.5,194.02,36198.23,36198.23
402x17,20.1,18.4,205.62,38171.30,38171.30
402x18,20.1,18.3,217.15,40112.46,40112.46
402x19,20.1,18.2,228.61,42022.06,42022.06
402x20,20.1,18.1,240.02,43900.43,43900.43
402x22,20.1,17.9,262.64,47564.90,47564.90
402x24,20.1,17.7,285.01,51108.57,51108.57
402x25,20.1,17.6,296.10,52835.95,52835.95
402x26,20.1,17.5,307.12,54534.14,54534.14
402x28,20.1,17.3,328.99,57844.24,57844.24
402x30,20.1,17.1,350.60,61041.52,61041.52
402x32,20.1,16.9,371.96,64128.55,64128.55
402x34,20.1,16.7,393.08,67107.91,67107.91
402x35,20.1,16.6,403.54,68558.01,68558.01
402x36,20.1,16.5,413.94,69982.13,69982.13
402x38,20.1,16.3,434.55,72753.71,72753.71
402x40,20.1,16.1,454.90,75425.13,75425.13
402x42,20.1,15.9,475.01,77998.82,77998.82
402x45,20.1,15.6,504.70,81681.40,81681.40
402x48,20.1,15.3,533.82,85157.54,85157.54
402x50,20.1,15.1,552.92,87364.17,87364.17
402x56,20.1,14.5,608.71,93477.32,93477.32
402x60,20.1,14.1,644.65,97152.70,97152.70
402x63,20.1,13.8,670.95,99711.55,99711.55
402x65,20.1,13.6,688.17,101327.30,101327.30
402x70,20.1,13.1,730.11,105065.90,105065.90
402x75,20.1,12.6,770.48,108400.10,108400.10
426x9,21.3,20.4,117.90,25639.69,25639.69
426x9.5,21.3,20.35,124.30,26968.35,26968.35
426x10,21.3,20.3,130.69,28287.25,28287.25
426x11,21.3,20.2,143.41,30895.97,30895.97
426x12,21.3,20.1,156.07,33466.24,33466.24
426x13,21.3,20,168.67,35998.42,35998.42
426x14,21.3,19.9,181.21,38492.91,38492.91
426x15,21.3,19.8,193.68,40950.07,40950.07
426x16,21.3,19.7,206.09,43370.29,43370.29
426x17,21.3,19.6,218.43,45753.93,45753.93
426x18,21.3,19.5,230.72,48101.36,48101.36
426x19,21.3,19.4,242.94,50412.95,50412.95
426x20,21.3,19.3,255.10,52689.08,52689.08
426x22,21.3,19.1,279.22,57136.37,57136.37
426x24,21.3,18.9,303.10,61446.12,61446.12
426x25,21.3,18.8,314.94,63550.32,63550.32
426x26,21.3,18.7,326.73,65621.21,65621.21
426x28,21.3,18.5,350.10,69664.47,69664.47
426x30,21.3,18.3,373.22,73578.69,73578.69
426x32,21.3,18.1,396.09,77366.67,77366.67
426x34,21.3,17.9,418.71,81031.14,81031.14
426x35,21.3,17.8,429.93,82817.90,82817.90
426x36,21.3,17.7,441.08,84574.81,84574.81
426x38,21.3,17.5,463.20,88000.37,88000.37
426x40,21.3,17.3,485.06,91310.48,91310.48
426x42,21.3,17.1,506.68,94507.75,94507.75
426x45,21.3,16.8,538.63,99097.77,99097.77
426x48,21.3,16.5,570.01,103448.40,103448.40
426x50,21.3,16.3,590.62,106219.90,106219.90
426x56,21.3,15.7,650.94,113943.40,113943.40
426x60,21.3,15.3,689.89,118623.80,118623.80
426x63,21.3,15,718.45,121901.30,121901.30
426x65,21.3,14.8,737.17,123979.90,123979.90
426x70,21.3,14.3,782.88,128819.80,128819.80
426x75,21.3,13.8,827.02,133177.80,133177.80
450x9,22.5,21.6,124.69,30324.87,30324.87
450x9.5,22.5,21.55,131.47,31902.39,31902.39
450x10,22.5,21.5,138.23,33468.96,33468.96
450x11,22.5,21.4,151.71,36569.47,36569.47
450x12,22.5,21.3,165.12,39626.83,39626.83
450x13,22.5,21.2,178.47,42641.43,42641.43
450x14,22.5,21.1,191.76,45613.66,45613.66
450x15,22.5,21,204.99,48543.94,48543.94
450x16,22.5,20.9,218.15,51432.65,51432.65
450x17,22.5,20.8,231.25,54280.20,54280.20
450x18,22.5,20.7,244.29,57086.97,57086.97
450x19,22.5,20.6,257.27,59853.35,59853.35
450x20,22.5,20.5,270.18,62579.74,62579.74
450x22,22.5,20.3,295.81,67914.08,67914.08
450x24,22.5,20.1,321.20,73093.07,73093.07
450x25,22.5,20,333.79,75625.25,75625.25
450x26,22.5,19.9,346.33,78119.74,78119.74
450x28,22.5,19.7,371.21,82997.12,82997.12
450x30,22.5,19.5,395.84,87728.19,87728.19
450x32,22.5,19.3,420.22,92315.91,92315.91
450x34,22.5,19.1,444.35,96763.20,96763.20
450x35,22.5,19,456.32,98935.08,98935.08
450x36,22.5,18.9,468.22,101073.00,101073.00
450x38,22.5,18.7,491.85,105248.00,105248.00
450x40,22.5,18.5,515.22,109291.30,109291.30
450x42,22.5,18.3,538.34,113205.50,113205.50
450x45,22.5,18,572.56,118841.00,118841.00
450x48,22.5,17.7,606.20,124201.60,124201.60
450x50,22.5,17.5,628.32,127627.20,127627.20
450x56,22.5,16.9,693.16,137221.60,137221.60
450x60,22.5,16.5,735.13,143075.20,143075.20
450x63,22.5,16.2,765.95,147194.90,147194.90
450x65,22.5,16,786.18,149817.10,149817.10
450x70,22.5,15.5,835.66,155955.70,155955.70
450x75,22.5,15,883.57,161528.20,161528.20
465x9,23.25,22.35,128.93,33524.79,33524.79
465x9.5,23.25,22.3,135.94,35272.60,35272.60
465x10,23.25,22.25,142.94,37008.70,37008.70
465x11,23.25,22.15,156.89,40445.95,40445.95
465x12,23.25,22.05,170.78,43836.96,43836.96
465x13,23.25,21.95,184.60,47182.14,47182.14
465x14,23.25,21.85,198.36,50481.92,50481.92
465x15,23.25,21.75,212.06,53736.70,53736.70
465x20,23.25,21.25,279.60,69349.97,69349.97
465x22,23.25,21.05,306.18,75294.54,75294.54
465x24,23.25,20.85,332.51,81072.07,81072.07
465x25,23.25,20.75,345.58,83899.18,83899.18
465x26,23.25,20.65,358.58,86685.71,86685.71
465x28,23.25,20.45,384.41,92138.58,92138.58
465x30,23.25,20.25,409.98,97433.80,97433.80
465x32,23.25,20.05,435.30,102574.40,102574.40
465x34,23.25,19.85,460.37,107563.50,107563.50
465x35,23.25,19.75,472.81,110002.10,110002.10
465x36,23.25,19.65,485.19,112404.00,112404.00
465x38,23.25,19.45,509.75,117099.00,117099.00
465x40,23.25,19.25,534.07,121651.30,121651.30
465x42,23.25,19.05,558.14,126063.90,126063.90
465x45,23.25,18.75,593.76,132427.30,132427.30
465x48,23.25,18.45,628.82,138492.40,138492.40
465x50,23.25,18.25,651.88,142374.80,142374.80
465x56,23.25,17.65,719.55,153279.50,153279.50
465x60,23.25,17.25,763.41,159957.60,159957.60
465x63,23.25,16.95,795.64,164670.60,164670.60
465x65,23.25,16.75,816.81,167676.60,167676.60
465x70,23.25,16.25,868.65,174734.50,174734.50
465x75,23.25,15.75,918.92,181170.00,181170.00
480x9,24,23.1,133.17,36942.28,36942.28
480x9.5,24,23.05,140.42,38872.22,38872.22
480x10,24,23,147.65,40789.65,40789.65
480x11,24,22.9,162.07,44587.17,44587.17
480x12,24,22.8,176.43,48335.27,48335.27
480x13,24,22.7,190.73,52034.37,52034.37
480x14,24,22.6,204.96,55684.90,55684.90
480x15,24,22.5,219.13,59287.30,59287.30
480x25,24,21.5,357.36,92756.26,92756.26
480x26,24,21.4,370.83,95856.78,95856.78
480x28,24,21.2,397.60,101928.70,101928.70
480x30,24,21,424.12,107831.20,107831.20
480x32,24,20.8,450.38,113567.50,113567.50
480x34,24,20.6,476.39,119140.70,119140.70
480x35,24,20.5,489.30,121867.00,121867.00
480x36,24,20.4,502.15,124553.80,124553.80
480x38,24,20.2,527.66,129810.10,129810.10
480x40,24,20,552.92,134912.60,134912.60
480x42,24,19.8,577.93,139864.20,139864.20
480x45,24,19.5,614.97,147015.50,147015.50
480x48,24,19.2,651.44,153844.20,153844.20
480x50,24,19,675.44,158222.40,158222.40
480x56,24,18.4,745.94,170551.70,170551.70
480x60,24,18,791.68,178128.30,178128.30
480x63,24,17.7,825.33,183488.90,183488.90
480x65,24,17.5,847.44,186914.50,186914.50
480x70,24,17,901.64,194979.00,194979.00
480x75,24,16.5,954.26,202362.50,202362.50
500x9,25,24.1,138.83,41849.74,41849.74
500x9.5,25,24.05,146.39,44041.63,44041.63
500x10,25,24,153.94,46219.90,46219.90
500x11,25,23.9,168.99,50535.77,50535.77
500x12,25,23.8,183.97,54797.80,54797.80
500x13,25,23.7,198.89,59006.45,59006.45
500x14,25,23.6,213.75,63162.16,63162.16
500x15,25,23.5,228.55,67265.38,67265.38
500x25,25,22.5,373.06,105507.20,105507.20
500x26,25,22.4,387.17,109061.90,109061.90
500x28,25,22.2,415.19,116029.80,116029.80
500x30,25,22,442.96,122811.90,122811.90
500x32,25,21.8,470.48,129411.60,129411.60
500x34,25,21.6,497.75,135832.10,135832.10
500x35,25,21.5,511.29,138976.20,138976.20
500x36,25,21.4,524.77,142076.70,142076.70
500x38,25,21.2,551.54,148148.60,148148.60
500x40,25,21,578.05,154051.10,154051.10
500x42,25,20.8,604.32,159787.40,159787.40
500x45,25,20.5,643.24,168086.90,168086.90
500x48,25,20.2,681.60,176030.00,176030.00
500x50,25,20,706.86,181132.50,181132.50
500x56,25,19.4,781.13,195547.00,195547.00
500x60,25,19,829.38,204442.30,204442.30
500x63,25,18.7,864.91,210755.20,210755.20
500x65,25,18.5,888.29,214798.50,214798.50
500x70,25,18,945.62,224348.20,224348.20
500x75,25,17.5,1001.38,233134.40,233134.40
530x9,26.5,25.6,147.31,49997.14,49997.14
530x9.5,26.5,25.55,155.34,52624.79,52624.79
530x10,26.5,25.5,163.36,55237.05,55237.05
530x11,26.5,25.4,179.35,60415.68,60415.68
530x12,26.5,25.3,195.28,65533.51,65533.51
530x13,26.5,25.2,211.15,70591.01,70591.01
530x14,26.5,25.1,226.95,75588.65,75588.65
530x15,26.5,25,242.69,80526.92,80526.92
530x25,26.5,24,396.63,126746.80,126746.80
530x26,26.5,23.9,411.67,131062.70,131062.70
530x28,26.5,23.7,441.58,139533.40,139533.40
530x30,26.5,23.5,471.24,147792.30,147792.30
530x32,26.5,23.3,500.64,155843.00,155843.00
530x34,26.5,23.1,529.80,163689.10,163689.10
530x35,26.5,23,544.28,167536.50,167536.50
530x36,26.5,22.9,558.70,171334.00,171334.00
530x38,26.5,22.7,587.35,178781.20,178781.20
530x40,26.5,22.5,615.75,186034.10,186034.10
530x42,26.5,22.3,643.90,193096.20,193096.20
530x45,26.5,22,685.65,203338.80,203338.80
530x48,26.5,21.7,726.84,213170.90,213170.90
530x50,26.5,21.5,753.98,219503.10,219503.10
530x56,26.5,20.9,833.90,237466.80,237466.80
530x60,26.5,20.5,885.93,248613.90,248613.90
530x63,26.5,20.2,924.29,256556.90,256556.90
530x65,26.5,20,949.55,261659.40,261659.40
530x70,26.5,19.5,1011.59,273762.30,273762.30
530x75,26.5,19,1072.07,284969.20,284969.20
550x9,27.5,26.6,152.96,55977.61,55977.61
550x9.5,27.5,26.55,161.31,58925.70,58925.70
550x10,27.5,26.5,169.65,61857.17,61857.17
550x11,27.5,26.4,186.27,67670.55,67670.55
550x12,27.5,26.3,202.82,73418.24,73418.24
550x13,27.5,26.2,219.31,79100.74,79100.74
550x14,27.5,26.1,235.75,84718.54,84718.54
550x15,27.5,26,252.11,90272.14,90272.14
550x25,27.5,25,412.33,142384.10,142384.10
550x26,27.5,24.9,428.01,147263.50,147263.50
550x28,27.5,24.7,459.18,156847.40,156847.40
550x30,27.5,24.5,490.09,166201.20,166201.20
550x32,27.5,24.3,520.75,175328.80,175328.80
550x34,27.5,24.1,551.16,184233.80,184233.80
550x35,27.5,24,566.27,188604.00,188604.00
550x36,27.5,23.9,581.32,192919.90,192919.90
550x38,27.5,23.7,611.23,201390.50,201390.50
550x40,27.5,23.5,640.88,209649.50,209649.50
550x42,27.5,23.3,670.29,217700.20,217700.20
550x45,27.5,23,713.93,229393.60,229393.60
550x48,27.5,22.7,757.00,240638.40,240638.40
550x50,27.5,22.5,785.40,247891.30,247891.30
550x56,27.5,21.9,869.09,268518.50,268518.50
550x60,27.5,21.5,923.63,281360.30,281360.30
550x63,27.5,21.2,963.87,290532.70,290532.70
550x65,27.5,21,990.39,296435.20,296435.20
550x70,27.5,20.5,1055.58,310471.00,310471.00
550x75,27.5,20,1119.19,323516.50,323516.50
