,h,b,s,t,r1,r2,a,,,
18М,18,9,0.7,1.2,0.9,0.35,0.119428926,32.9,1768,131
24М,24,11,0.82,1.4,1.05,0.4,0.119428926,48.8,4640,277.7
30М,30,13,0.9,1.5,1.2,0.6,0.119428926,64,9500,480
36М,36,13,0.95,1.6,1.4,0.6,0.119428926,73.8,15340,518
45М,45,15,1.05,1.8,1.6,0.7,0.119428926,98.8,31900,892
