,Rsn,Rs,Rsw,Es,es2,ys
A240,240,210,170,200000,0.025,1.15
A400,400,350,280,200000,0.025,1.15
A500,500,435,300,200000,0.025,1.15
A600,600,520,0,200000,0.015,1.15
A800,800,695,0,200000,0.015,1.15
A1000,1000,870,0,200000,0.015,1.15
B500,500,435,300,200000,0.025,1.15
